Total pages,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doc id,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AVG: 3.5404503753,AVG: 21.7583333333,,,,,,,,,,,,,,,,,,,,,,,,,,
362,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
363,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
364,1,2,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,
365,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
366,1,7,39,39,16,15,18,21,20,12,,,,,,,,,,,,,,,,,,,
367,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
368,2,3,21,21,21,12,,,,,,,,,,,,,,,,,,,,,,,
369,1,3,22,22,20,13,,,,,,,,,,,,,,,,,,,,,,,
370,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
371,1,15,80,80,22,22,12,17,22,19,14,22,24,18,21,22,22,16,,,,,,,,,,,
372,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
373,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
374,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
375,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
376,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
377,1,3,21,21,21,16,,,,,,,,,,,,,,,,,,,,,,,
378,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
379,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
380,1,3,26,26,19,20,,,,,,,,,,,,,,,,,,,,,,,
381,1,5,32,32,17,20,25,13,,,,,,,,,,,,,,,,,,,,,
382,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
383,1,3,17,17,15,15,,,,,,,,,,,,,,,,,,,,,,,
384,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
385,2,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
386,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
387,2,4,24,24,11,15,13,,,,,,,,,,,,,,,,,,,,,,
388,1,3,27,27,24,18,,,,,,,,,,,,,,,,,,,,,,,
389,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
390,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
391,2,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
392,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
393,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
394,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
395,1,3,26,26,13,21,,,,,,,,,,,,,,,,,,,,,,,
396,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
397,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
398,1,3,25,25,24,16,,,,,,,,,,,,,,,,,,,,,,,
399,2,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
400,2,3,23,23,16,17,,,,,,,,,,,,,,,,,,,,,,,
401,1,3,23,23,21,19,,,,,,,,,,,,,,,,,,,,,,,
402,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
403,2,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
404,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
405,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
406,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
407,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
408,1,3,20,20,17,16,,,,,,,,,,,,,,,,,,,,,,,
409,2,4,27,27,19,18,19,,,,,,,,,,,,,,,,,,,,,,
410,2,7,55,55,18,18,21,23,24,19,,,,,,,,,,,,,,,,,,,
411,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
412,2,3,15,15,14,9,,,,,,,,,,,,,,,,,,,,,,,
413,1,3,19,19,17,11,,,,,,,,,,,,,,,,,,,,,,,
414,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
415,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
416,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
417,1,3,27,27,22,20,,,,,,,,,,,,,,,,,,,,,,,
418,1,4,22,22,17,16,9,,,,,,,,,,,,,,,,,,,,,,
419,1,4,30,30,22,24,16,,,,,,,,,,,,,,,,,,,,,,
420,1,6,25,25,16,19,14,17,12,,,,,,,,,,,,,,,,,,,,
421,1,3,17,17,17,9,,,,,,,,,,,,,,,,,,,,,,,
422,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
423,1,7,52,52,21,19,21,25,27,24,,,,,,,,,,,,,,,,,,,
424,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
425,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
426,2,4,27,27,15,16,16,,,,,,,,,,,,,,,,,,,,,,
427,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
428,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
429,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
430,1,5,36,36,20,25,17,12,,,,,,,,,,,,,,,,,,,,,
431,1,3,22,22,18,17,,,,,,,,,,,,,,,,,,,,,,,
432,1,3,21,21,18,14,,,,,,,,,,,,,,,,,,,,,,,
433,1,4,31,31,20,28,15,,,,,,,,,,,,,,,,,,,,,,
434,1,6,32,32,14,16,14,12,10,,,,,,,,,,,,,,,,,,,,
435,1,6,33,33,16,13,15,18,12,,,,,,,,,,,,,,,,,,,,
436,2,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
437,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
438,1,4,28,28,15,18,15,,,,,,,,,,,,,,,,,,,,,,
439,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
440,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
441,1,3,18,18,16,10,,,,,,,,,,,,,,,,,,,,,,,
442,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
443,1,5,25,25,16,11,8,12,,,,,,,,,,,,,,,,,,,,,
444,1,9,45,45,12,13,19,15,9,14,16,12,,,,,,,,,,,,,,,,,
445,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
446,1,5,32,32,22,18,14,8,,,,,,,,,,,,,,,,,,,,,
447,1,4,20,20,17,10,11,,,,,,,,,,,,,,,,,,,,,,
448,1,3,28,28,26,17,,,,,,,,,,,,,,,,,,,,,,,
449,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
450,1,3,11,11,9,7,,,,,,,,,,,,,,,,,,,,,,,
451,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
452,2,6,37,37,19,18,18,20,14,,,,,,,,,,,,,,,,,,,,
453,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
454,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
455,2,3,18,18,17,11,,,,,,,,,,,,,,,,,,,,,,,
456,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
457,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
458,2,9,48,48,12,13,15,12,20,18,20,19,,,,,,,,,,,,,,,,,
459,2,4,30,30,19,20,20,,,,,,,,,,,,,,,,,,,,,,
460,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
461,1,3,22,22,20,17,,,,,,,,,,,,,,,,,,,,,,,
462,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
463,2,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
464,1,4,29,29,20,21,17,,,,,,,,,,,,,,,,,,,,,,
465,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
466,1,7,44,44,21,19,15,25,21,12,,,,,,,,,,,,,,,,,,,
467,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
468,1,14,62,62,13,19,17,17,18,18,17,14,15,13,18,23,18,,,,,,,,,,,,
469,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
470,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
471,1,5,22,22,15,10,9,8,,,,,,,,,,,,,,,,,,,,,
472,1,3,26,26,20,17,,,,,,,,,,,,,,,,,,,,,,,
473,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
474,2,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
475,1,4,24,24,17,17,16,,,,,,,,,,,,,,,,,,,,,,
476,1,3,30,30,27,20,,,,,,,,,,,,,,,,,,,,,,,
477,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
478,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
479,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
480,2,3,21,21,20,13,,,,,,,,,,,,,,,,,,,,,,,
481,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
482,1,10,56,56,17,17,19,18,13,10,13,16,13,,,,,,,,,,,,,,,,
483,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
484,1,3,26,26,20,16,,,,,,,,,,,,,,,,,,,,,,,
485,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
486,1,7,42,42,20,22,21,18,18,10,,,,,,,,,,,,,,,,,,,
487,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
488,1,3,15,15,14,6,,,,,,,,,,,,,,,,,,,,,,,
489,1,8,53,53,19,22,19,19,18,15,10,,,,,,,,,,,,,,,,,,
490,1,5,27,27,15,17,13,8,,,,,,,,,,,,,,,,,,,,,
491,2,13,66,66,22,19,17,21,19,17,14,18,18,18,15,9,,,,,,,,,,,,,
492,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
493,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
494,1,6,37,37,14,16,16,20,16,,,,,,,,,,,,,,,,,,,,
495,1,5,17,17,7,9,10,8,,,,,,,,,,,,,,,,,,,,,
496,2,3,23,23,22,14,,,,,,,,,,,,,,,,,,,,,,,
497,2,3,15,15,14,9,,,,,,,,,,,,,,,,,,,,,,,
498,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
499,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
500,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
501,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
502,1,3,20,20,14,19,,,,,,,,,,,,,,,,,,,,,,,
503,1,3,19,19,14,13,,,,,,,,,,,,,,,,,,,,,,,
504,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
505,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
506,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
507,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
508,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
509,1,5,20,20,7,7,12,13,,,,,,,,,,,,,,,,,,,,,
510,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
511,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
512,1,5,36,36,19,20,22,18,,,,,,,,,,,,,,,,,,,,,
513,2,8,48,48,23,21,16,19,21,19,19,,,,,,,,,,,,,,,,,,
514,2,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
515,1,5,37,37,18,18,22,15,,,,,,,,,,,,,,,,,,,,,
516,2,3,18,18,15,11,,,,,,,,,,,,,,,,,,,,,,,
517,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
518,1,3,17,17,12,13,,,,,,,,,,,,,,,,,,,,,,,
519,2,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
520,1,3,18,18,18,11,,,,,,,,,,,,,,,,,,,,,,,
521,1,4,16,16,9,12,13,,,,,,,,,,,,,,,,,,,,,,
522,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
523,1,5,29,29,18,19,20,10,,,,,,,,,,,,,,,,,,,,,
524,1,3,27,27,20,19,,,,,,,,,,,,,,,,,,,,,,,
525,1,5,32,32,22,24,20,20,,,,,,,,,,,,,,,,,,,,,
526,1,3,17,17,15,11,,,,,,,,,,,,,,,,,,,,,,,
527,1,5,25,25,18,15,12,12,,,,,,,,,,,,,,,,,,,,,
528,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
529,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
530,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
531,2,4,25,25,15,18,18,,,,,,,,,,,,,,,,,,,,,,
532,2,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
533,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
534,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
535,2,11,64,64,17,18,14,17,19,18,16,21,24,19,,,,,,,,,,,,,,,
536,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
537,1,9,49,49,17,16,17,20,18,18,18,19,,,,,,,,,,,,,,,,,
538,1,4,29,29,21,21,11,,,,,,,,,,,,,,,,,,,,,,
539,1,5,34,34,17,20,23,15,,,,,,,,,,,,,,,,,,,,,
540,1,4,34,34,20,20,18,,,,,,,,,,,,,,,,,,,,,,
541,1,8,67,67,18,21,19,22,25,22,26,,,,,,,,,,,,,,,,,,
542,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
543,1,5,26,26,13,13,16,16,,,,,,,,,,,,,,,,,,,,,
544,2,10,55,55,17,14,15,23,29,26,15,13,9,,,,,,,,,,,,,,,,
545,1,7,36,36,12,13,16,14,19,19,,,,,,,,,,,,,,,,,,,
546,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
547,1,5,41,41,19,20,17,18,,,,,,,,,,,,,,,,,,,,,
548,2,4,24,24,18,15,10,,,,,,,,,,,,,,,,,,,,,,
549,1,6,40,40,17,20,17,16,14,,,,,,,,,,,,,,,,,,,,
550,1,2,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
551,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
552,1,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,
553,2,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
554,2,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
555,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
556,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
557,1,3,18,18,13,13,,,,,,,,,,,,,,,,,,,,,,,
558,2,16,68,68,19,16,15,13,16,16,18,18,18,25,19,18,19,17,14,,,,,,,,,,
559,1,5,37,37,25,22,18,14,,,,,,,,,,,,,,,,,,,,,
560,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
561,1,3,13,13,12,5,,,,,,,,,,,,,,,,,,,,,,,
562,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
563,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
564,1,5,40,40,23,27,23,15,,,,,,,,,,,,,,,,,,,,,
565,1,3,22,22,21,16,,,,,,,,,,,,,,,,,,,,,,,
566,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
567,1,8,55,55,21,25,24,14,18,22,17,,,,,,,,,,,,,,,,,,
568,2,8,39,39,17,21,18,13,11,17,15,,,,,,,,,,,,,,,,,,
569,1,2,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,
570,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
571,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
572,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
573,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
574,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
575,1,6,38,38,18,25,17,14,16,,,,,,,,,,,,,,,,,,,,
576,1,6,46,46,19,21,23,20,17,,,,,,,,,,,,,,,,,,,,
577,2,6,32,32,17,15,18,15,10,,,,,,,,,,,,,,,,,,,,
578,1,4,30,30,25,18,9,,,,,,,,,,,,,,,,,,,,,,
579,1,4,38,38,28,23,16,,,,,,,,,,,,,,,,,,,,,,
580,1,6,22,22,8,9,11,11,11,,,,,,,,,,,,,,,,,,,,
581,3,14,70,70,16,16,22,19,21,16,19,21,19,10,20,22,12,,,,,,,,,,,,
582,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
583,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
584,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
585,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
586,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
587,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
588,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
589,1,4,30,30,20,21,17,,,,,,,,,,,,,,,,,,,,,,
590,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
591,2,9,57,57,22,22,19,18,26,22,16,15,,,,,,,,,,,,,,,,,
592,1,4,32,32,20,24,16,,,,,,,,,,,,,,,,,,,,,,
593,2,4,19,19,18,16,8,,,,,,,,,,,,,,,,,,,,,,
594,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
595,2,5,29,29,11,13,21,13,,,,,,,,,,,,,,,,,,,,,
596,1,5,43,43,18,20,22,24,,,,,,,,,,,,,,,,,,,,,
597,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
598,1,5,30,30,15,17,21,10,,,,,,,,,,,,,,,,,,,,,
599,1,3,15,15,14,9,,,,,,,,,,,,,,,,,,,,,,,
600,1,6,42,42,22,22,18,22,21,,,,,,,,,,,,,,,,,,,,
601,1,4,16,16,14,11,4,,,,,,,,,,,,,,,,,,,,,,
602,2,3,17,17,17,11,,,,,,,,,,,,,,,,,,,,,,,
603,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
604,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
605,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
606,2,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
607,1,4,21,21,17,17,8,,,,,,,,,,,,,,,,,,,,,,
608,2,4,19,19,18,16,8,,,,,,,,,,,,,,,,,,,,,,
609,1,3,22,22,16,16,,,,,,,,,,,,,,,,,,,,,,,
610,2,6,45,45,22,18,18,19,21,,,,,,,,,,,,,,,,,,,,
611,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
612,1,3,20,20,16,16,,,,,,,,,,,,,,,,,,,,,,,
613,1,3,13,13,11,8,,,,,,,,,,,,,,,,,,,,,,,
614,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
615,2,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
616,1,2,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
617,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
618,1,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
619,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
620,1,5,34,34,23,20,20,14,,,,,,,,,,,,,,,,,,,,,
621,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
622,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
623,1,13,72,72,26,23,20,21,23,26,21,19,17,20,20,15,,,,,,,,,,,,,
624,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
625,1,3,17,17,14,13,,,,,,,,,,,,,,,,,,,,,,,
626,1,3,30,30,29,21,,,,,,,,,,,,,,,,,,,,,,,
627,1,7,50,50,19,26,21,19,14,12,,,,,,,,,,,,,,,,,,,
628,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
629,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
630,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
631,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
632,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
633,1,2,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,
634,2,3,20,20,17,12,,,,,,,,,,,,,,,,,,,,,,,
635,1,7,45,45,22,18,16,20,21,11,,,,,,,,,,,,,,,,,,,
636,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
637,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
638,1,3,24,24,20,14,,,,,,,,,,,,,,,,,,,,,,,
639,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
640,1,10,57,57,19,27,23,14,13,13,15,18,17,,,,,,,,,,,,,,,,
641,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
642,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
643,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
644,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
645,2,17,86,86,16,10,17,21,25,26,21,17,19,19,16,20,27,21,23,26,,,,,,,,,
646,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
647,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
648,1,6,38,38,16,14,21,21,16,,,,,,,,,,,,,,,,,,,,
649,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
650,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
651,1,4,27,27,15,17,18,,,,,,,,,,,,,,,,,,,,,,
652,1,3,25,25,18,22,,,,,,,,,,,,,,,,,,,,,,,
653,2,7,42,42,17,19,19,21,20,14,,,,,,,,,,,,,,,,,,,
654,1,3,26,26,15,19,,,,,,,,,,,,,,,,,,,,,,,
655,1,4,27,27,22,19,14,,,,,,,,,,,,,,,,,,,,,,
656,1,4,27,27,15,23,14,,,,,,,,,,,,,,,,,,,,,,
657,1,4,34,34,26,18,13,,,,,,,,,,,,,,,,,,,,,,
658,2,6,41,41,18,22,22,16,18,,,,,,,,,,,,,,,,,,,,
659,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
660,1,18,71,71,12,10,17,17,16,15,17,20,21,15,13,13,14,16,12,11,14,,,,,,,,
661,1,3,28,28,22,21,,,,,,,,,,,,,,,,,,,,,,,
662,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
663,1,2,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,
664,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
665,1,3,14,14,13,10,,,,,,,,,,,,,,,,,,,,,,,
666,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
667,1,3,18,18,17,11,,,,,,,,,,,,,,,,,,,,,,,
668,2,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
669,1,5,32,32,17,20,21,11,,,,,,,,,,,,,,,,,,,,,
670,1,4,29,29,16,20,19,,,,,,,,,,,,,,,,,,,,,,
671,2,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
672,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
673,1,7,40,40,14,15,17,17,17,18,,,,,,,,,,,,,,,,,,,
674,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
675,1,4,33,33,25,24,13,,,,,,,,,,,,,,,,,,,,,,
676,1,7,44,44,18,17,22,20,16,18,,,,,,,,,,,,,,,,,,,
677,1,2,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
678,1,6,38,38,23,18,16,16,15,,,,,,,,,,,,,,,,,,,,
679,1,2,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,
680,1,10,58,58,22,20,12,20,22,20,18,24,24,,,,,,,,,,,,,,,,
681,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
682,1,3,24,24,22,17,,,,,,,,,,,,,,,,,,,,,,,
683,1,4,26,26,17,23,14,,,,,,,,,,,,,,,,,,,,,,
684,1,4,26,26,16,17,12,,,,,,,,,,,,,,,,,,,,,,
685,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
686,1,3,28,28,24,21,,,,,,,,,,,,,,,,,,,,,,,
687,1,3,16,16,15,8,,,,,,,,,,,,,,,,,,,,,,,
688,1,6,47,47,18,23,24,25,18,,,,,,,,,,,,,,,,,,,,
689,2,4,29,29,14,21,20,,,,,,,,,,,,,,,,,,,,,,
690,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
691,1,3,21,21,21,15,,,,,,,,,,,,,,,,,,,,,,,
692,1,3,18,18,18,14,,,,,,,,,,,,,,,,,,,,,,,
693,2,9,44,44,11,11,16,19,20,16,18,11,,,,,,,,,,,,,,,,,
694,1,6,32,32,15,17,17,19,18,,,,,,,,,,,,,,,,,,,,
695,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
696,2,7,39,39,19,19,18,17,16,19,,,,,,,,,,,,,,,,,,,
697,1,2,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,
698,2,15,69,69,18,17,21,15,11,12,16,18,15,14,14,15,17,8,,,,,,,,,,,
699,1,3,23,23,22,16,,,,,,,,,,,,,,,,,,,,,,,
700,2,4,17,17,15,11,8,,,,,,,,,,,,,,,,,,,,,,
701,1,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
702,1,2,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,
703,2,7,46,46,19,18,18,20,23,12,,,,,,,,,,,,,,,,,,,
704,1,3,27,27,16,18,,,,,,,,,,,,,,,,,,,,,,,
705,2,3,17,17,15,14,,,,,,,,,,,,,,,,,,,,,,,
706,2,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
707,1,4,16,16,14,11,8,,,,,,,,,,,,,,,,,,,,,,
708,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
709,2,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
710,1,4,24,24,18,22,13,,,,,,,,,,,,,,,,,,,,,,
711,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
712,1,7,39,39,17,20,20,15,11,5,,,,,,,,,,,,,,,,,,,
713,1,3,21,21,20,17,,,,,,,,,,,,,,,,,,,,,,,
714,1,2,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,
715,1,5,35,35,16,11,20,18,,,,,,,,,,,,,,,,,,,,,
716,1,3,25,25,23,16,,,,,,,,,,,,,,,,,,,,,,,
717,1,4,34,34,24,25,10,,,,,,,,,,,,,,,,,,,,,,
718,1,2,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,
719,1,2,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,
720,1,2,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
721,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
722,1,2,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,
723,1,9,51,51,24,20,16,21,18,21,15,11,,,,,,,,,,,,,,,,,
724,1,2,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
725,1,2,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,
726,1,2,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,
727,1,2,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,
728,1,3,13,13,10,7,,,,,,,,,,,,,,,,,,,,,,,
729,1,4,23,23,18,13,13,,,,,,,,,,,,,,,,,,,,,,
730,1,2,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,
